# Machine Database of NCC-Informatica-UFSM (old version)
# Source of DNS and DHCP configuration
#
# Format:
# hostname IP MAC group alias
#

# sunray
sunray01 10.1.1.60 10:03:ba:ff:b1:a9 sunray -
sunray02 10.1.1.61 10:03:ba:dc:34:7f sunray -
sunray03 10.1.1.62 10:03:ba:ff:bf:7c sunray -
sunray04 10.1.1.63 10:03:ba:ff:a4:f8 sunray -
sunray05 10.1.1.64 10:03:ba:ff:a3:a2 sunray -
sunray06 10.1.1.65 10:03:ba:ff:b8:1f sunray -
sunray07 10.1.1.66 10:03:ba:dc:2d:57 sunray -
sunray08 10.1.1.67 10:03:ba:ff:b5:48 sunray -
sunray09 10.1.1.68 10:03:ba:ff:b8:30 sunray -
sunray10 10.1.1.69 10:03:ba:ff:b8:4d sunray -

# ncc-cli1
soyo01 10.1.1.11 00:50:2c:02:76:0c ncc-cli1 -
soyo02 10.1.1.12 00:50:2c:02:71:ef ncc-cli1 -
soyo03 10.1.1.13 00:50:2c:02:a2:f3 ncc-cli1 -
soyo04 10.1.1.14 00:26:22:61:67:BA ncc-cli1 -
soyo05 10.1.1.15 00:50:2c:02:6a:7a ncc-cli1 -
soyo06 10.1.1.16 00:50:2c:02:2c:49 ncc-cli1 -
soyo07 10.1.1.17 00:50:2c:02:75:41 ncc-cli1 -
soyo08 10.1.1.18 00:50:2c:02:70:4b ncc-cli1 -
soyo09 10.1.1.19 00:50:2c:02:67:23 ncc-cli1 -

# ap200v
sala340wireless 200.18.42.180 00:06:25:88:58:77 ap200v -
wireless02 200.18.42.181 00:09:5B:67:6A:51 ap200v -

# lsc200
brujah 200.18.42.77 00:11:5B:37:EC:E2,00:08:54:32:52:B2,00:08:54:32:52:B5 lsc200 -
eterea 200.18.42.78 00:11:5B:34:F9:84 lsc200 -
paple 200.18.42.95 00:02:E3:31:61:EF lsc200 nfs-lsc
